GENOME	ENTROPIES for motif lengths [1 2 3 4 5]
2974073009795896929175805389016776802	1.000000000000000e+00 2.000000000000000e+00 2.945159765557394e+00 3.382812500000001e+00 3.500000000000000e+00
47476590325866375101747094420559455550	1.000000000000000e+00 2.000000000000000e+00 2.939262206946741e+00 3.453125000000000e+00 3.500000000000000e+00
248068657034494160230656017015486486837	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.476562500000000e+00 3.500000000000000e+00
116342117581181973571000778025543989378	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.445312500000000e+00 3.500000000000000e+00
286313227488420863664368949100012638562	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.421875000000000e+00 3.500000000000000e+00
93739755199916592405458603863385957693	1.000000000000000e+00 2.000000000000000e+00 2.911842089725437e+00 3.408164941389349e+00 3.500000000000000e+00
294527330010369496195146528901990822589	1.000000000000000e+00 2.000000000000000e+00 2.896217089725437e+00 3.351562500000001e+00 3.500000000000000e+00
49003073288289726162950481345798820847	1.000000000000000e+00 2.000000000000000e+00 2.960784765557394e+00 3.476562500000000e+00 3.500000000000000e+00
65317349904962031237615981156134108292	1.000000000000000e+00 2.000000000000000e+00 2.923637206946742e+00 3.375000000000001e+00 3.500000000000000e+00
65858652685246702591423716807899088295	1.000000000000000e+00 2.000000000000000e+00 2.908994214908247e+00 3.335937500000001e+00 3.500000000000000e+00
26836453365680832507195328114082750815	1.000000000000000e+00 2.000000000000000e+00 2.911842089725437e+00 3.375000000000000e+00 3.500000000000000e+00
198248379100376837020369269213374894717	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.382812500000001e+00 3.500000000000000e+00
314848491198937205413830889929431352072	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.398437500000001e+00 3.500000000000000e+00
95758530293973550387472508324548983286	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.398437500000000e+00 3.500000000000000e+00
309136966758061783074554213498255510698	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.359375000000001e+00 3.500000000000000e+00
165228808485003923471545323293361339455	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.390625000000001e+00 3.500000000000000e+00
266735569102851221693636521534701804818	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.382812500000000e+00 3.500000000000000e+00
265356508192601165994780595539290354969	1.000000000000000e+00 2.000000000000000e+00 2.933364648336090e+00 3.437500000000000e+00 3.500000000000000e+00
195462558345515197400128155221343047586	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.453125000000000e+00 3.500000000000000e+00
313666662763934644639012924489468339960	1.000000000000000e+00 2.000000000000000e+00 2.925399413893480e+00 3.390625000000001e+00 3.500000000000000e+00
321974142279884361186349731369038823137	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.429687500000000e+00 3.500000000000000e+00
141032250543806112093998351259476306878	1.000000000000000e+00 2.000000000000000e+00 2.927467089725436e+00 3.429687500000000e+00 3.500000000000000e+00
64058211767356922898001635421230278177	1.000000000000000e+00 2.000000000000000e+00 2.913909765557395e+00 3.351562500000000e+00 3.500000000000000e+00
210331724863943595120385788628516431035	1.000000000000000e+00 2.000000000000000e+00 2.954887206946742e+00 3.476562500000001e+00 3.500000000000000e+00
