GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8]
151293203764397529369617699231734321242	1.000000000000000e+00 2.000000000000000e+00 2.833717089725436e+00 3.171722265557392e+00 3.359375000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
201004242186555329825335367259192276038	1.000000000000000e+00 2.000000000000000e+00 2.821921972504132e+00 3.257812500000001e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
339792681924666567763589020257340427170	1.000000000000000e+00 2.000000000000000e+00 2.798637206946740e+00 3.154182324168045e+00 3.359375000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
267081395787718897127790822420110170321	1.000000000000000e+00 2.000000000000000e+00 2.794501855282828e+00 3.169807324168045e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
276183927385479550940130885346314084981	1.000000000000000e+00 2.000000000000000e+00 2.880592089725437e+00 3.320312500000001e+00 3.421875000000001e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
7824274683265283961853750334683379988	1.000000000000000e+00 2.000000000000000e+00 2.765319531114784e+00 3.191329882778697e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
115659854342148828646784767244460325552	1.000000000000000e+00 2.000000000000000e+00 2.847274413893480e+00 3.283164941389349e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
263476849087277877297413211113305912424	1.000000000000000e+00 2.000000000000000e+00 2.896217089725437e+00 3.292892382778697e+00 3.431602441389348e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
78080612066475340566617156627952946209	1.000000000000000e+00 2.000000000000000e+00 2.835986574533667e+00 3.251914941389348e+00 3.406250000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
61991122634565313204938174447686982290	1.000000000000000e+00 2.000000000000000e+00 2.893369214908247e+00 3.259727441389348e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
103303987063411425218782189916204354084	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.296875000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
310786142805483281486603188452150008034	1.000000000000000e+00 2.000000000000000e+00 2.881574097686943e+00 3.250000000000001e+00 3.343750000000001e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
77443212140070960170446126392977501396	1.000000000000000e+00 2.000000000000000e+00 2.780944531114784e+00 3.181602441389351e+00 3.359375000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
225892684299281074175104835819586892837	1.000000000000000e+00 2.000000000000000e+00 2.798839015923014e+00 3.236289941389349e+00 3.406250000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
252844298302820048810999346381717499308	1.000000000000000e+00 2.000000000000000e+00 2.868796972504132e+00 3.283164941389349e+00 3.406250000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
78295509416968236221100600769210001656	1.000000000000000e+00 2.000000000000000e+00 2.867034765557393e+00 3.251914941389349e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
331905056954742986934203846136540453040	1.000000000000000e+00 2.000000000000000e+00 2.880592089725437e+00 3.281250000000001e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
230171988038771988188342375302228907068	1.000000000000000e+00 2.000000000000000e+00 2.773486574533666e+00 3.187347265557393e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
53788803384751033371468340542273660425	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.298789941389349e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
307779099269811650026579879936700505534	1.000000000000000e+00 2.000000000000000e+00 2.871846656297596e+00 3.359375000000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
83647938582105692711790811454609969118	1.000000000000000e+00 2.000000000000000e+00 2.798839015923014e+00 3.175704882778698e+00 3.369102441389349e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
132799686603520583786677922664772146925	1.000000000000000e+00 2.000000000000000e+00 2.830089015923014e+00 3.246017382778697e+00 3.378829882778696e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
330544595242176180922783809373499013283	1.000000000000000e+00 2.000000000000000e+00 2.814262206946741e+00 3.177619824168045e+00 3.353477441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
