GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7]
214039332947326605810422628259460628521	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
157675796809412824292895729418541222853	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
244559862368593453120383560535067999535	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
263600583265462858840638397851715846639	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
67354209840385596359049987070572795997	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
293771551091628162730520098665461776995	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.406250000000000e+00 3.468750000000000e+00 3.500000000000000e+00
207533821899457565869395264128809105925	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
249049588622580530178202389314392681445	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
37885185973110479077542861680339643807	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
330185535050645352204157229090282457001	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
93395312987287658442401049087469941068	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
163275709626214371233785317530841707298	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
323396241280404722328580789083274189919	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000000e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
172536059781182839703443342977118225705	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
123542204596683386199932833986490028459	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000002e+00 3.468750000000002e+00 3.484375000000000e+00 3.500000000000000e+00
17184297331129073508973616111171665243	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
138908898476715841310336044197858353036	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
243122798399775963170798936894812073138	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
23760426931055969872882151167786758322	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
252345276929853941773487778850916126141	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
141396805240957481634394383286059658872	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
154791037005823168882007904309113355027	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.250000000000001e+00 3.406250000000000e+00 3.484375000000000e+00 3.500000000000000e+00
187375850947624671777734417503282514714	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
27436981570842265351734946547981170461	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
77006196670002283652831618191609000112	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
291753857911924068995156938346452861732	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
119702209183605141477792886553629874277	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.421875000000000e+00 3.492187500000000e+00 3.500000000000000e+00
286215893870463884769798971019445241613	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
319539083353735404446293109984524182963	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000002e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
187349933529869968912196313042887248770	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
256125267523692553706611008578414611321	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
140494342873231801731498367646825967818	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
325945313301275390842707816052991349792	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
97067887291559693357954659222885936650	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.273437500000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
161983436926342657180241218188529035900	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
