GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7]
317689180146124601731537126002043611274	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
309572143124013210385062754885604401565	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000003e+00 3.406250000000002e+00 3.468750000000001e+00 3.500000000000000e+00
252826052867798382973901500442759945540	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
25265297939718695231477449163428235538	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
219843953780435977114186878536502918130	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
315161529676533364765872752114869242876	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
46515985936796553705620955996626774914	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
91422744588441002145724449461879977440	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
103316797552918136033376251276803621611	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
109955728715976269834223163272404858678	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
306545676188239321857092010285545203233	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
261074658432820373589216260393402183808	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
162915760417749866538136211961562345731	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
149624106496691395684458218986583355035	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
185830048683026642170300698784675505723	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
89558489070397617419471937775451074397	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
298300233418260758418399990782430119930	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
315140384691160133228995502207789500396	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
42038616348177024929851759877681076099	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
58673460241978866238380609394433227470	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
89452215943126917496526094610134367666	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
148980638882247234330973234268999705342	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
38643607886993798349108539680928366925	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
38748175387839543123152238807052956247	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
290628630096060842860184209275964252807	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
66938261460892840092105755839353682608	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
241208811481563439127727071774953890809	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
249714834535703879175626995039315585304	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
144786350840619464415013204633095931991	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
52252596630770703289930888955587989512	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
145901732217750940762518044579207388673	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
137571474304097157580036887891651315321	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
323717353711760684017403077812910096309	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000000e+00 3.406250000000000e+00 3.476562500000000e+00 3.500000000000000e+00
123484315554490297251467311695991272631	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.453125000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
69184797201965558709496447309709964008	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
182430636551175084039837076799203613545	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
244923986873694404060191459116066478380	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
269926862694435349845947434937651383776	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000000e+00 3.421875000000000e+00 3.492187500000000e+00 3.500000000000000e+00
63373221923359226213487209899048492994	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
162890861782805040623510527224837773974	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
177370995670131219693966636831758986852	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
333269460200499361994804052637005927126	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
246384640107363232230730556574741064654	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
137978657504151804300298762016878244370	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
267178745482391699663479103836056359782	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000002e+00 3.453125000000002e+00 3.484375000000000e+00 3.500000000000000e+00
339156280283112403760406951008965067242	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.437500000000000e+00 3.476562500000000e+00 3.500000000000000e+00
118171119287964296565284763156828576061	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
318738659344703018170617554756965798368	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
290764686001065060250724744270478765361	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
314572572358414496439455998132822271962	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
140554582350686678307979231515380908363	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
160758914549064536578731300027383287930	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
71520980421153190751759110115418813381	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
48930951506035691522024450378200114772	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
92413180323650959323285186503765049511	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
83411209579165131492086977169164924654	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
249790448526564994927863066038072448139	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000002e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
106512441989555197272389311285049395371	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
189227085763710824489074954430337506423	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
138829915840951318100726613498434914340	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
18168719787163674954552301352913851796	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
333424255025801903543660458320470580989	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.250000000000002e+00 3.406250000000000e+00 3.484375000000000e+00 3.500000000000000e+00
227550876536296622031245305510511524424	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
234640745923606919762135142250290433006	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000000e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
111606537478675585095128789588800045534	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
243173244952390192538307002089274919335	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
123519620908181810256974329885173225097	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
206838189557069296476686872616766273654	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000003e+00 3.406250000000002e+00 3.484375000000000e+00 3.500000000000000e+00
4738483375322099335912837818389406296	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
153664654963489447430765353696575857154	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
121629130956635506762969015890802519490	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000002e+00 3.421875000000002e+00 3.484375000000000e+00 3.500000000000000e+00
185056433235958612621640030456896027966	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
183303520996471926590347286119918134056	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
57571645799239326015678399303896724376	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
335346400306785500714235089200235329643	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
197476920648565189905492399508397020548	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
285465432188291992587793343186372772638	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
334922925783360012939410970232937853297	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
21343138053211188021029031750957607666	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
55968945988313507394366425534015218299	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
109061214138765078241552882129756108168	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000000e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
94506625179536078219963279057130650853	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000002e+00 3.437500000000001e+00 3.484375000000000e+00 3.500000000000000e+00
45988576417402250334366758779804571755	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
170909385886573594271267489298943986277	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
65814546123801709374028393166100480525	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000002e+00 3.406250000000001e+00 3.484375000000000e+00 3.500000000000000e+00
153932793011618565614702023131650958042	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000002e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
124583566167667219947881133302522191632	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
153704117838959710464814283820222758140	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
268520167647526818394563872522732297095	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
155235570729039030568013192400933716304	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000000e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
147774919259202326157921211341795196705	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
92640280858994176046888959666739259736	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000001e+00 3.437500000000000e+00 3.476562500000000e+00 3.500000000000000e+00
240518378904242437537629664790938870969	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
320658151829571097658757050836570378671	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
338456781374091003429661390398588844201	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
85948366282412204675963769385105006007	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
93921840517619409757095802617180294256	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
131368249179529425252496900483467442216	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
68370042517155259685533922599211147080	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
177287892147309121032132616152146960990	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000003e+00 3.453125000000002e+00 3.484375000000000e+00 3.500000000000000e+00
227821446017989701320515516192019608388	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
8727095770606509223162250460175151080	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
141928155355169688374882988748333874939	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
183189004666747613488200351216471266044	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
209323536900929619423497980477300775542	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
320142360325555124310344849006445309254	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
57158787788352942070166241510187192150	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
258726838582555056320664725256173235673	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
310388696908246114994513945095611846259	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
207300297765126219841583570604913665459	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
45870496337717934134428455569372312864	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
106576684340326763787847492529687216004	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
8206675650323036831096034194353536524	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.500000000000000e+00
129257227850442740122183395900371868673	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
254274307279294185164740795358345860477	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000002e+00 3.468750000000002e+00 3.484375000000000e+00 3.500000000000000e+00
190221105745790090385721396988783652901	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
228144700113894888031930060680136104808	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000002e+00 3.453125000000001e+00 3.492187500000000e+00 3.500000000000000e+00
286323610083224660520734815076686396698	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
269113756096671683817752285041582534379	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
43958990152203432139741324226978240860	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
282826691303384886804882630127049424762	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
77675826328236006812854349187763034952	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
45329082872475347867229431183042943307	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
325468339330873528757274012940652096516	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
76749202741390578891362658169440978250	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000002e+00 3.453125000000001e+00 3.492187500000000e+00 3.500000000000000e+00
57200795500837550667042683843236851072	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
325108136372494359529926066490996056541	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
79437879674141932981704037661324249214	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000000e+00 3.406250000000000e+00 3.468750000000000e+00 3.500000000000000e+00
288916078678237802234077771026035880963	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000002e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
306968337102557467154422690750993069389	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
149696982370288740093718615705588865304	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
19673847776725369570806525197343879117	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000002e+00 3.437500000000002e+00 3.484375000000000e+00 3.500000000000000e+00
104736287085016695358325185763458848579	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
193614869817455653535902386703517325324	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
41590663269118327831794215631742906534	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
147495038799329781307278232251723873918	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
288680797897692195548993847829304295593	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
52097347514768174560718294763470913798	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
229259449270686898304876478149250213521	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
134423833194221248791807688104722139922	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
272821135007614691711530467140645542679	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
331627895520347202976755795967538333692	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
229778058468915433296570920441816382290	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000002e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
326021980052675583729889780947136039107	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
134853578510419880566169026365289173134	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
193755167972040822382127329310453942104	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
290089595634645422380621496189833171494	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
299318835427225097389425680337679569468	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
217391582122773932759745534018765431974	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
151449580204730080460812255484021870484	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
257622411711282861262462050599289398776	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
81810894892930230607579971187906837289	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
121269109965842974734571429933596085571	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000002e+00 3.437500000000001e+00 3.484375000000000e+00 3.500000000000000e+00
