GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8 9]
268559655240029570924534878781258147652	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
241872162116768935265774938505919656395	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
15359287206297214838388547888219847058	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
202966170882477848774457618881127344083	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.195312500000001e+00 3.328125000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
116423965171574300102395291109493731768	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.437500000000000e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
253761231813741544548718767892213021388	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.250000000000003e+00 3.359375000000001e+00 3.406250000000000e+00 3.437500000000000e+00 3.468750000000000e+00 3.500000000000000e+00
294715395011608086706102386628867428541	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.242187500000002e+00 3.343750000000000e+00 3.414062500000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
269422899553743618457521538996352488284	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.187500000000001e+00 3.312500000000001e+00 3.398437500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
206534774626472675581231572527148370239	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000001e+00 3.375000000000001e+00 3.414062500000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
167512365503795398467219276423118138567	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000001e+00 3.343750000000001e+00 3.429687500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
56992136060780976781647691955484262273	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.171875000000002e+00 3.296875000000002e+00 3.382812500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
224763539948070213594189571505823871821	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.210937500000002e+00 3.343750000000001e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
78732262499875381263100874720517888926	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.390625000000001e+00 3.429687500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
335696620562345391836935012458475918468	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.234375000000002e+00 3.328125000000002e+00 3.406250000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
